Rank,Title,Author,Average Rating
68,"Oh, the Places You’ll Go!",Dr. Seuss,"4.36 avg rating — 404,611 ratings"
69,Anna Karenina,Leo Tolstoy,"4.09 avg rating — 842,867 ratings"
70,Tuesdays with Morrie,Mitch Albom,"4.17 avg rating — 1,019,262 ratings"
71,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,"4.36 avg rating — 325,868 ratings"
72,Slaughterhouse-Five,Kurt Vonnegut Jr.,"4.10 avg rating — 1,363,901 ratings"
73,The Old Man and the Sea,Ernest Hemingway,"3.80 avg rating — 1,139,141 ratings"
74,Catch-22,Joseph Heller,"3.99 avg rating — 828,658 ratings"
75,The Scarlet Letter,Nathaniel Hawthorne,"3.43 avg rating — 862,240 ratings"
76,Macbeth,William Shakespeare,"3.90 avg rating — 891,435 ratings"
77,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"4.39 avg rating — 2,794,997 ratings"
78,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,"3.65 avg rating — 6,534,212 ratings"
79,The Metamorphosis,Franz Kafka,"3.86 avg rating — 1,042,990 ratings"
80,Lolita,Vladimir Nabokov,"3.88 avg rating — 844,916 ratings"
81,Siddhartha,Hermann Hesse,"4.07 avg rating — 766,101 ratings"
82,The Stranger,Albert Camus,"4.02 avg rating — 1,079,710 ratings"
83,The Time Traveler’s Wife,Audrey Niffenegger,"3.99 avg rating — 1,779,922 ratings"
84,Goodnight Moon,Margaret Wise Brown,"4.31 avg rating — 372,334 ratings"
85,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"4.43 avg rating — 3,894,172 ratings"
86,A Tree Grows in Brooklyn,Betty  Smith,"4.29 avg rating — 463,085 ratings"
87,War and Peace,Leo Tolstoy,"4.16 avg rating — 326,123 ratings"
88,"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,"4.35 avg rating — 152,690 ratings"
89,A Clockwork Orange,Anthony Burgess,"really liked it 4.00 avg rating — 708,827 ratings"
90,All Quiet on the Western Front,Erich Maria Remarque,"4.07 avg rating — 456,714 ratings"
91,The Stand,Stephen King,"4.35 avg rating — 756,245 ratings"
92,Don Quixote,Miguel de Cervantes Saavedra,"3.90 avg rating — 269,350 ratings"
93,Uncle Tom’s Cabin,Harriet Beecher Stowe,"3.90 avg rating — 226,443 ratings"
94,القرآن الكريم,Anonymous,"4.38 avg rating — 67,762 ratings"
95,Atlas Shrugged,Ayn Rand,"3.69 avg rating — 389,177 ratings"
96,The Brothers Karamazov,Fyodor Dostoevsky,"4.37 avg rating — 329,238 ratings"
97,The Poisonwood Bible,Barbara Kingsolver,"4.09 avg rating — 740,813 ratings"
98,The Book of Mormon: Another Testament of Jesus Christ,Joseph Smith Jr.,"4.24 avg rating — 86,245 ratings"
99,"Moby-Dick or, The Whale",Herman Melville,"3.54 avg rating — 557,567 ratings"
100,"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,"4.29 avg rating — 527,972 ratings"
